Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Gga2;mKIAA1080	2.25846122098144	2.27346196105623	2.20363227406949	2.10692779813954	1.99410366383593	1.79966401121266	1.7496339051003	2.20937580175828	2.19044042296568	2.13322594789055	2.10158244429515	2.05992693437027	1.84334911041278	1.73930211702058
Ggct	2.48747579292294	2.49827343202598	2.4359055975423	2.36250802145642	2.41430472584383	2.35109572307878	2.35396950625232	2.43682674193949	2.51046896958245	2.4584813158107	2.43170785820031	2.35520073643954	2.37026025220305	2.25103428111935
Gla	4.58525333897343	4.46795707282353	4.48882237327938	4.44369439889601	4.4235273073736	4.34585138897446	4.3558779858054	4.57918995046493	4.55602467842887	4.58694551715657	4.43435500929609	4.48110623448763	4.40570095869748	4.31751802863445
Glrx	7.27358668893404	7.22324416739675	7.28342742387381	7.29606885849343	7.3177303902748	7.23242235529077	7.20323130294054	7.30737293800806	7.32414167202038	7.29823184077194	7.20349487584591	7.24990748697502	7.33796819028362	7.24173689535427
Glt25d1;AK135643	4.53729306880376	4.48686263871816	4.49946227664779	4.39766422629074	4.34212831327847	4.32114606806707	4.15455714189064	4.57190637823267	4.60539554114898	4.46175668145885	4.50754865475253	4.30757660699398	4.25737420965214	4.12379155827777
Gltp	4.17073262400249	4.04257638356608	4.10770724427931	3.97175019455173	4.13360683169197	3.95000809907271	3.99421589957561	4.1233560304616	4.02223165996324	4.06167774654987	3.99661021711139	3.91743553363952	4.09733439221776	3.98580350585656
Glud1	6.76106645936104	6.7955236850456	6.70539437359548	6.72048336700397	6.69589356324683	6.7233799209438	6.65301708224166	6.79790063417278	6.74015468063215	6.70002435067498	6.78361205799302	6.65259205729706	6.69652005715478	6.57177690046946
Glul	3.87223842107042	3.64023299226049	3.67366186402238	3.57600172827959	3.47086632469029	3.33161773977108	3.25725558965808	3.78892759525362	3.71771357679943	3.67810261163793	3.47704704193592	3.42123093836245	3.29995853418658	3.11633718244991
Gm10094	4.65265466775427	4.75151008776371	4.68006631462215	4.67379409793688	4.5470128198624	4.56396221348821	4.33010771008769	4.6757292693423	4.74460632195479	4.71662811795085	4.72681887276868	4.66614525750535	4.47909216650301	4.31960930995393
Gm10653;Rps2	7.15182415989785	7.1525428863294	7.07628670534075	7.11329069898721	7.14337143125035	7.14586423148822	7.04944381112387	7.17632644509988	7.15228744078684	7.1032753377753	7.0728273886542	7.06721094677486	7.0454776279106	7.06171531646227
