Gene Group	H/L LPS R1 0h	H/L LPS R1 01h	H/L LPS R1 02h	H/L LPS R1 04h	H/L LPS R1 06h	H/L LPS R1 09h	H/L LPS R1 12h	H/L LPS R2 0h	H/L LPS R2 01h	H/L LPS R2 02h	H/L LPS R2 04h	H/L LPS R2 06h	H/L LPS R2 09h	H/L LPS R2 12h
Pcnp	2.66674826710453	2.61672402968162	2.74871690507258	2.82898406658291	2.89302680823411	3.04402753214779	3.16260687080649	2.62623782181842	2.75030505726903	2.64383371028759	2.84896350150988	2.92057733707159	3.00963656431127	3.13946666722144
Pcnt	-1.87785175101276	-1.87536937135265	-1.75761045851197	-1.74980433124135	-1.63027901412922	-1.59963251180064	-1.48229275156614	-1.91536301284329	-1.90856311807979	-1.726532122781	-1.64167464302847	-1.64335824310904	-1.48944116371733	-1.44968475327292
Pcx	0.0678619866921748	0.395675160740032	0.686804877612799	0.751196841782737	0.670820979567698	0.69731747737676	0.701118488982102	0.143884817518724	0.370698075102108	0.673733935102838	0.631100127976436	0.652359546578511	0.724404020718821	0.762008869858298
Pdcd6	2.81787446692917	2.9938149806551	3.14934175349905	3.10813753131844	3.23430308263496	3.25481156454318	3.18495040004466	2.89288836958368	2.96791952628869	3.09175589390235	3.19876399241752	3.11116728325449	3.27636163776653	3.26346402811617
Pdcd6ip	3.83102351112254	3.87630249674577	3.94359203319799	4.05986352373558	4.19760717449665	4.44428031898878	4.53383662354333	3.87022117075045	3.94215002708313	3.96060135501121	3.89469913306545	4.1602011433668	4.37401720209862	4.54677113133633
Pdcl	0.010670276788742	0.0849402598694183	0.116609451591476	0.0640949796536985	0.488224261995996	0.874500564191152	1.04383020646551	-0.142240874191651	-0.222365188136836	-0.0512025636082741	-0.0172984443213275	0.470151699367838	0.854676403713817	1.0480972449519
Pdha1	3.49458402122516	3.42183843610604	3.46393673627967	3.39107448670853	3.52729391645406	3.60037786600438	3.66195029354548	3.45321994404516	3.39937101829697	3.46497019812142	3.47188033304468	3.55205792382856	3.5671351108626	3.71939095702769
Pdhb	3.6962010150606	3.68658260240483	3.80323728077307	3.87296823574133	3.74221904568353	3.79560809640976	3.8081230649042	3.69144115901541	3.75536078226978	3.78640767262417	3.73719013677485	3.74614596133325	3.79548771587883	3.74792261926151
Pdhx	1.79098311907301	1.59726160836364	1.855866494923	1.72879791969283	1.73230521918317	1.8647265996359	1.82334119245233	1.6884281149488	1.70575772352665	1.67638970612091	1.77732028095673	1.83139768576811	1.82337403419238	1.83817037058736
Pdia3	5.30409656236666	5.39724595606818	5.27575034716501	5.33921965066179	5.48246016738211	5.54386032053674	5.71876264492147	5.3137310539466	5.3366685052792	5.33132288681289	5.38660721867344	5.29393184936257	5.67595648709603	5.74882720274725
Pdia4	4.42089673889656	4.40615837125961	4.3819796043645	4.36919187008446	4.41765127837056	4.37352817642412	4.37386980782462	4.34607575412389	4.4235360498935	4.45933319488841	4.33637988993871	4.37793643762191	4.40720973924543	4.44440128920656
Pdia6	4.67044016411003	4.82769908623265	4.83194771401808	4.8444003496739	4.81383884361088	4.97665574138397	5.10279413902332	4.69545375188185	4.83480099465426	4.75844685124348	4.81707014755788	4.89980018132232	4.96160470759307	5.09755754724924
Pdlim5	2.53088126931712	2.56380736539833	2.60169089581254	2.85462754084128	2.96143062815302	3.32920036897079	3.43681869369274	2.61435573559167	2.64011917450922	2.75123974156669	2.98044663236886	3.16212650268007	3.24118371000651	3.40050424220718
Pdxk	2.54130751603987	2.60992032584163	2.5777658578622	2.66749981369796	2.94730514665676	2.98218765478314	3.00675322987756	2.50987322434491	2.56251691392911	2.59393229813619	2.66095252766649	2.94577845095277	2.95989824257551	2.98485447012278
Pea15a	1.99656341524158	2.06221271043016	2.05037678271293	2.18193700888548	2.5420448552412	3.02103312915727	3.2541908343598	1.99372818883646	2.06673971076345	2.13945401044602	2.30334508504739	2.53352097909821	3.01339523583558	3.28620260947331
Pebp1	4.17113377802037	4.07987991352682	4.22954205102512	4.16203039643411	4.27777362456406	4.34029399897051	4.41278641512272	4.06608076258736	4.07916058679955	4.09861430297318	4.28664911746178	4.25983079026815	4.30039773748607	4.52004069716971
Pelo;Pelota	0.376174292465063	0.459456105524798	0.488264989188954	0.518136356204435	0.714489754527844	1.07519745662921	1.36175726884065	0.325758525500373	0.316705940691266	0.444993356312144	0.520316833493983	0.714912206549031	1.00932557356396	1.23718359494197
Pfdn2	2.9591635394237	2.9383957335985	3.20318444088897	3.11827494918778	3.21818045185541	3.30368054404609	3.52535201855978	2.79464141851555	2.97725293853067	3.27467354401503	3.19235647896721	3.19100005817433	3.35092991966867	3.50378433825058
Pfkp;AK032401	4.29678784147565	4.28310656966739	4.50413862416134	4.41457261897093	4.5051438902198	4.63240803634469	4.70704436393895	4.30754033299188	4.24036004905899	4.48379813778654	4.49631072118859	4.44976849969932	4.70124323583447	4.75719016708319
Pfn1	6.29189292207571	6.54243727142354	6.7084072215088	6.74777767202658	6.77101814671084	7.05490752591583	7.1288513523106	6.27521746478986	6.48212065905044	6.58260627476772	6.63476628161086	6.92991144372764	6.98711318101099	7.25015124975885
Pgam1	6.26158693504526	6.35415845431006	6.34142003065518	6.43842409106363	6.42616893138154	6.44378910467346	6.45550485055236	6.32902491015705	6.33302639925754	6.40168432364406	6.38412878960672	6.43303929767046	6.42434488010241	6.53733686527812
Pgam5	2.10725112111832	2.02148906364944	2.17775930221144	2.15926428410939	2.17266812909289	2.231883932166	2.2249894795191	2.07064920321663	2.15697121924051	2.19934595388284	2.15629676178729	2.11431145539756	2.22558749437188	2.20088264546212
Pgd	5.53171311332373	5.61558925801601	5.63544463139219	5.71794879952647	5.75634261134794	5.98773536886199	6.05103651479239	5.73607699434067	5.62281636201313	5.68451403770652	5.73970831728233	5.87116927405623	5.95528780278655	6.05556152239317
