Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Chmp2b	144.1687305	113.5990099	126.381526	128.7667872	133.1519365	117.1587592	95.82013525	144.9506121	133.9917692	133.1888961	129.1170989	123.9631879	115.9441442	102.1238399
Sun2	111.2063513	104.0421983	89.47393116	50.09379777	40.90481495	43.73931697	53.16426818	64.33229925	62.92772236	60.6260762	37.53114345	37.40906763	23.38440073	33.20862122
Sgta	86.50522957	62.43790822	63.74138994	66.20198823	69.44689092	72.82901363	72.66760965	83.89686116	81.02225326	85.31192513	57.04254972	69.50950262	69.0085035	67.7648568
Eif2a	72.38911762	133.6181409	92.39960422	87.81345719	54.67880017	41.32169288	46.27790088	216.9841764	444.8443962	164.2238172	203.0159591	130.2089088	263.3672025	158.9920717
Psmd5	62.37256282	41.54534871	34.23319918	28.73148541	29.66610749	46.65454828	71.19666967	33.02741695	24.042742	32.4031871	29.22251373	30.18921041	31.39595879	44.74463121
Hspbap1	13.00101634	24.80878336	11.67220635	17.43798849	15.97630723	15.34994819	10.71733765	10.7390439	10.79539511	6.804051472	17.96816138	16.59547324	21.11017915	14.26762085
Ahsa1	148.2412921	99.75107733	83.22283149	51.60907136	59.1511501	77.65419453	78.26829629	84.35511023	93.75632838	69.51594735	48.12155969	57.12872589	31.1772319	46.14262097
Rcc2	99.80150046	95.45903789	68.14990985	35.45493555	24.39393839	32.00632049	37.49467273	109.2323058	53.26047746	71.10840657	26.54929753	25.55859699	38.78439549	29.79997467
Mrps27	28.55910166	8.068295594	5.409450921	3.328154621	4.501575233	6.713535741	8.271619163	18.27311414	10.66059925	4.490122896	3.695213035	3.181481766	5.528357311	8.39353803
Thoc5	28.55651409	18.78233604	23.10954845	15.88590902	11.91289048	13.78717971	15.92824983	20.93078314	6.596478755	8.33430025	15.23996865	16.39897145	7.16139607	11.76356064
Pdhx	43.26222051	146.1094392	28.2727813	44.73675893	26.83889269	25.14706922	24.05412759	19.82064271	74.32824297	26.81068939	24.3882118	21.2184917	26.13542485	28.60156501
Eea1	50.13368573	94.66375232	71.81784636	65.22646807	65.50417612	53.41745528	53.64076976	155.6462031	274.1672264	145.3742811	120.9321114	117.9507947	159.3069279	150.1437566
Srsf7;Sfrs7	131.4741052	145.879267	97.19673434	85.68709248	107.9481109	91.69255247	92.4445227	108.2897327	170.1597986	111.056131	98.28878752	106.8125166	59.56161427	84.33905777
Nceh1	74.13483904	50.20537502	35.77321913	17.48117181	18.0756812	28.66232043	33.92025265	43.17614848	38.94394099	31.38965585	12.7182555	17.90904124	13.15228826	22.02186958
Lss	28.23048687	14.51027476	11.320423	6.521317431	7.555620292	6.722013118	8.999201914	11.42204364	17.37586121	9.977600362	6.019818854	4.710028397	2.683716277	3.476315925
Hps6	16.48969466	9.090591296	4.130010512	7.929263198	6.400246311	10.79896263	10.71216169	6.233516315	5.458719219	8.428776538	4.41319918	9.225119445	8.614077319	9.156390051
Srp68	59.43819103	58.24935956	45.26232811	46.12756328	31.03264034	45.91093893	54.05176838	44.38395527	25.26117226	42.55266161	36.35926223	27.81941798	14.95198547	31.78589217
