Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Smarca5	4.82227	4.9673	4.89651	4.72784	4.49328	4.10006	4.07086	4.85199	4.85196	4.77529	4.67016	4.4912	4.29711	4.14042
Smarcc1	4.1501	4.36611	4.03483	3.52537	3.34809	3.3513	3.37784	4.15615	4.18577	3.89733	3.50752	3.39748	3.57388	3.43551
Smarcc2	4.26175	4.25533	4.12825	3.80279	3.72655	3.85972	3.88816	4.22554	4.31413	3.98968	3.70938	3.78672	3.95541	3.94169
Smarce1	4.61389	4.68797	4.72794	4.82727	4.93537	4.90789	4.8935	4.52042	4.65456	4.71355	4.79456	4.91906	5.03747	4.9542
Smek2	3.93382	3.82529	3.73363	3.75592	3.70692	3.6779	3.76292	3.99476	3.665	3.64332	3.66968	3.70619	3.90423	3.81321
Smpdl3b	4.35312	4.45045	4.46815	4.78154	4.82612	4.84847	4.94074	4.36859	4.30023	4.3253	4.58996	4.91135	5.16127	5.01191
Snrpa1	4.44119	4.40861	4.36298	4.19827	3.88734	3.73482	3.7569	4.43452	4.27078	4.28763	4.21111	3.98456	3.71361	3.88791
Snrpb;Snurf	5.72295	5.74244	5.69609	5.62959	5.44801	5.13026	5.02506	5.73512	5.5241	5.63198	5.62594	5.45311	5.25354	5.17062
Snrpd3	5.6712	5.67043	5.454	5.32103	5.23771	5.06447	5.02057	5.55599	5.4177	5.5228	5.48228	5.18901	5.11321	5.15842
Snrpf	5.2293	5.18331	5.08587	5.11372	5.2222	5.12485	4.84355	5.09692	5.17031	5.36597	5.30088	5.14264	4.91143	4.81466
Snw1	4.86259	4.86141	4.8337	5.1629	5.12665	4.97455	5.0332	5.02242	4.88174	4.50874	4.90549	5.1264	5.26161	5.14861
Snx2	5.87879	5.61658	5.59317	5.68635	5.81078	5.65046	5.38306	5.70138	5.68305	5.71497	5.83421	5.90748	5.48207	5.29604
Snx3	5.94059	5.73137	5.62277	5.44906	5.36564	5.41618	5.4022	5.7414	5.80835	5.73409	5.59598	5.45711	5.2693	5.32155
Snx9	3.90252	3.73669	3.73674	3.59637	3.28621	3.20546	3.24874	3.57055	3.94299	3.93645	3.60285	3.43921	3.20055	3.02012
Soat1	5.45067	5.49271	5.16917	4.74007	4.51305	4.75568	5.12758	5.54603	5.44835	5.15057	4.64632	4.50013	4.90226	5.05528
Sod2	5.49813	6.08828	6.41713	6.53293	6.75392	6.84629	6.80894	5.59933	5.94965	6.37462	6.57895	6.73765	6.85939	6.84603
Sord	3.37629	3.25789	2.83144	2.45789	2.14602	2.2932	2.61385	3.4778	3.28845	2.59351	2.28822	2.31535	2.30824	2.70502
Sp100	4.45031	4.61618	5.27658	5.76375	5.9566	6.02331	5.92195	4.49138	4.88443	5.17283	5.71321	6.07067	5.9667	5.70948
Sp110	4.90906	5.27044	6.06831	6.61873	6.74036	6.55095	6.33833	5.01126	5.50381	6.05103	6.48429	6.63586	6.51565	6.29427
Spast	2.98063	2.66404	2.27406	2.34281	2.50799	2.42358	2.32098	2.96212	2.60254	2.21576	2.35081	2.56303	2.50799	2.31182
Spnb2;AK137356	3.94287	3.99534	3.73478	3.51816	3.50487	3.41608	3.3578	3.84764	3.93549	3.59385	3.41649	3.53851	3.62721	3.51071
Sptlc2	3.67379	3.49977	3.7245	3.79787	3.76104	3.81873	3.8167	3.61922	3.51951	3.76798	3.86183	3.92371	3.69566	3.7045
Sra1	4.33432	4.54647	4.43547	4.11531	3.98278	4.11296	4.26407	4.2279	4.64505	4.45192	4.43874	4.35814	3.72766	3.94197
Src	3.37195	3.52129	4.17032	4.33237	4.16431	4.23652	4.31415	3.06945	3.47774	4.37427	4.666	4.39004	4.05564	4.07776
Srrm2	5.27248	5.35486	5.27411	5.11055	5.07062	5.06226	5.10526	5.219	5.58066	5.31444	5.03681	5.00579	5.03705	5.05639
Srsf11;Sfrs11	5.93826	6.47572	6.3188	6.08676	5.79617	5.55345	5.68793	6.24735	6.68007	6.08027	5.68667	5.55591	5.70059	5.90622
Srsf4	4.15085	4.00235	3.8783	3.93579	3.84545	3.67969	3.75422	3.95831	4.0196	3.96315	3.9494	3.85191	3.75456	3.74973
Srsf5	6.43328	6.74023	6.58898	6.35469	6.183	5.91223	5.96341	6.58153	6.83734	6.61483	6.09965	5.97326	6.03119	6.03803
Srsf6	4.84846	4.88905	4.61995	4.285	4.1642	4.06983	4.08175	4.74884	4.94502	4.87727	4.3733	4.09741	3.92896	3.98743
Srsf9	5.69636	5.72302	5.37619	5.23979	5.28882	5.12891	5.05369	5.89695	5.65317	5.31774	5.0254	5.11776	5.30577	5.19
Srxn1	4.8753	4.95417	5.05571	4.82868	4.59567	5.03079	5.506	4.87291	5.1641	5.25769	4.80425	4.49339	4.86951	5.38448
Ssr3	5.84516	5.84647	5.85695	5.88109	6.03721	5.95037	5.80204	5.82441	5.71358	5.84648	5.98996	6.10622	6.00941	5.72923
Ssr4	5.43552	5.2655	5.20987	5.17159	5.0616	5.04598	5.00275	5.31345	5.15885	5.28226	5.33377	5.26401	4.86079	4.97968
St13	5.61742	5.57985	5.59008	5.43381	5.27938	5.43596	5.6535	5.65507	5.84233	5.45353	5.2824	5.31777	5.48	5.55889
Stard5	3.64819	3.62533	3.74632	3.89123	3.71121	3.4695	3.52973	3.59083	3.78732	3.76637	3.98868	3.70028	3.37243	3.4156
Stat1	4.24675	4.13081	4.91195	5.61582	5.97624	6.27387	6.24223	4.16444	4.04823	4.90799	5.76453	6.17657	6.21017	6.12573
Stat2	4.28054	4.31327	5.71621	6.27024	6.25715	6.29377	6.2258	4.01093	4.40872	5.85521	6.37926	6.30825	6.22806	6.16654
Stat3	4.43146	4.50491	4.729	5.11917	5.32232	5.20146	5.11144	4.37473	4.30699	4.57836	5.13852	5.42224	5.41963	5.17929
Stat5a	3.7652	4.56747	5.46422	5.47666	5.45551	5.49043	5.33643	3.66468	4.44239	5.60496	5.71242	5.44697	5.31998	5.36451
Stat5b;AK088966	3.07074	3.19134	3.53877	3.55382	3.59965	3.88989	3.94079	2.97168	2.90193	3.53897	3.82581	3.75394	3.83099	3.96167
Stat6	4.70458	4.77379	4.75166	4.5423	4.43071	4.59677	4.72179	4.71659	4.90594	4.69486	4.61021	4.58679	4.45715	4.55005
Stip1	4.70456	4.85363	4.87787	4.61543	4.35931	4.36019	4.49571	4.58034	4.58391	4.74154	4.7902	4.69407	4.4473	4.42933
Stk24	4.60088	4.49907	4.21601	3.70043	3.62951	3.91685	3.97672	4.42432	4.58744	4.26558	3.69517	3.65222	3.91269	4.00206
Stk38	5.00903	4.74342	4.60654	4.80941	5.01418	4.94014	4.90851	5.02445	4.9213	4.53158	4.68281	4.90404	5.05014	4.91691
Strap	4.56173	4.46732	4.29291	4.10385	4.05902	4.04409	4.10362	4.32296	4.43783	4.51198	4.22786	4.03539	4.05243	4.04408
Strn4	3.53343	3.31978	3.14939	3.1087	3.19192	3.22776	3.28703	3.45503	3.44123	3.24513	3.00792	3.2012	3.31907	3.14845
Stub1	5.07749	5.02725	4.86715	4.80179	4.65117	4.51041	4.54637	5.16583	4.9481	4.78581	4.65461	4.57595	4.69682	4.65451
Stx7	5.33462	5.19525	5.03549	4.89913	5.05496	5.19474	5.1505	5.3078	5.30615	5.14066	4.88071	4.95627	5.11243	5.16068
Stx8	3.9386	4.26993	4.20038	4.0842	4.12463	4.25737	4.3304	4.13674	4.21081	4.18461	4.20329	4.14548	4.15406	4.1705
Stxbp3a	4.46362	4.6218	5.21344	5.69779	5.94931	5.94537	5.85998	4.48881	4.59893	5.32434	5.77633	5.9043	5.8767	5.78189
