Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
AI314180;mKIAA0368	18.430076349042572	18.821427894207673	18.811341433709792	18.756969726741378	17.630078399956226	17.471359247859407	17.655380638982223	18.60757593250115	19.549243158799023	18.710426872213294	18.08954231231534	17.79755870042351	17.318987163891723	17.504268585324635
AI607873	19.922265587923263	20.545781520164997	22.61807751777641	29.40870651719611	35.71287611289958	36.6833946567027	35.477488463221434	20.59139712549991	20.53699771035754	24.177219068262318	30.381498152779272	33.54809809997488	35.29823177204135	34.453565016042745
AI837181;Bles03	5.831755910524732	6.033514235438937	5.7986713188481795	5.591023048943042	5.423144347942346	5.2262660270919445	5.524038073243854	5.836623966133063	5.91423430052467	5.865487120597846	5.931989836831878	5.710392244180259	5.209824194872722	5.056351722876901
AK008288;Ctnna1	30.159768040106275	32.00396134273073	31.460067961158952	28.898406700129	28.650340225254563	30.0242478065569	29.203818516789887	32.15727843860485	31.589156323403074	29.304279496268954	29.551529412752203	30.57864564560067	28.762368148467697	28.12238023498836
AK011326;Pafah1b2	399.90123079777686	401.9575452718074	422.9802201588488	413.7849205471617	391.9703191391685	378.2406807466869	394.877513994119	417.61934985353514	419.8283819820589	418.53097057932524	404.8452066436829	390.42712868429265	380.9997817721044	370.6511070439149
AK017779;Marcks	57.17339897100895	57.49477466086708	60.49636861847329	64.31523731268364	66.2957111897377	71.01217014741309	70.60977975302961	60.70440468809731	57.671840497876246	57.05223125957836	62.24049817976443	68.24495443712281	71.88338849325163	72.12175587740049
AK032662;Specc1	7.846630046346385	7.82010131779996	7.366383954962423	7.210820782249645	7.533484795997085	7.2695003640676585	6.970263724288274	7.760672732039462	7.791017576945145	7.77143364435362	7.380012969906795	7.346739207767249	7.264955745008477	6.764558756595119
AK049578;Cltc	780.8117203377291	764.1878332430813	747.6939904968825	750.2368976779524	715.4365834273849	741.0870757887698	796.0624385891307	747.8494302129619	729.5441352003317	762.6801412146376	774.299149218282	729.1624780141278	749.229674348771	800.6208856549612
AK050838;Arih1	37.98798548008211	40.995571885456876	42.78151349164113	39.312574888954174	38.13414688523617	37.33928518716007	36.357417995997764	40.30584694126556	41.76187734132563	41.022393392516356	37.807089949035046	37.17309852170776	38.106501203976926	36.98047161256082
AK079994;Trappc8	8.51372411593237	8.319820680550745	8.022289699070972	7.690554026214741	7.414124874997449	7.534116492002905	7.321875911257957	8.486700162654037	8.269064323678432	8.091704730967638	7.9513023463644625	7.742083310472948	7.114205913698115	7.176278065891962
AK081796;Gns	356.4422751889858	358.8944009849219	335.6705457563601	328.0280416824883	346.90691019549973	336.43747962592903	326.4494658422994	356.93379747408585	344.4345481947553	338.44317436196627	329.74167801398175	339.4392789582252	351.14331227659676	329.2392882976375
AK087295;Pik3ap1	9.474676028352487	9.801740433172048	10.547592384754545	10.922633199074424	11.548461069323139	14.217918224163958	16.207015692010422	9.501524729849983	9.716940874840011	10.15887131393885	10.42116223510114	11.717559579685595	14.992266598973595	17.504247895743916
AK157914;Ppp1cb	60.970645990362115	60.94522758798651	60.299884640095144	62.18542993134924	66.46157857263051	66.29057388120106	61.38751984627882	63.934967874844226	62.97619275413311	62.854839812120815	62.38534467564183	60.92957811305661	61.98506073450275	60.646377800316046
AK171687;Bcl10	63.759583032519586	62.26668820998459	61.20838425460021	58.945930747359796	60.490778451283916	64.29820413016292	63.7261996592312	61.14097219008306	59.18811655699359	57.26556254782368	64.33026056236787	67.04182336360259	63.05751623380813	64.01924873749515
AK188353;Eif4h	203.4059535971694	206.6850508624436	205.2422114942859	195.5859982254001	190.10616225560358	185.53105799096704	187.26260398905896	199.47560735156566	211.5297539807691	208.38618222265288	194.81560881947465	191.80683523922215	187.35671909487527	180.3934572214076
AK211593;Timm50	33.5379041022548	33.60170471714084	33.432598504227286	33.03510364515914	33.85893179080528	32.81361690152917	30.30555753764567	35.81275260927846	34.5596432752587	34.26874407587934	33.75670079334741	32.213332283875296	30.827169358063703	29.266943540554454
Aars	123.29769690130122	127.06354537328413	124.74833672082346	116.96692622248678	113.31744953538336	112.84612460267682	110.20509880661015	122.45198914347257	122.88882022826326	123.5397345183352	115.29110798129317	112.36770299239026	115.36905976580198	115.06116513915558
Abcd1	9.768656300287198	9.876820691848316	9.577003319957804	9.200550482770556	9.190724746873162	8.625898955772584	8.733017647306603	10.54589876413158	10.404208497719058	9.533382367879017	8.828421645200187	8.93968482273282	8.534258635184518	8.283527667798934
Abcf2	30.775193446737255	31.222695524813417	29.2915832010142	28.41125362299701	28.92592702747071	27.86919955322867	27.109782390023636	31.318559631479097	30.55553297460065	29.752677512521345	28.708073821757726	28.341533637737427	27.41019842093494	27.63659272778842
Abi1	104.28671203929777	107.34058080238341	106.0110648164167	105.70720401334411	110.08241819952437	106.59038058149052	99.86226075573153	106.3302879200962	110.10132917227106	106.16633625879042	106.04878331244478	106.87553188958714	104.78942342196419	99.57106171877798
Acads	218.95891904298063	223.45437429602302	214.5332422516663	203.20662953848222	199.88172231614786	210.61417719074055	210.6097557064942	216.52004811357247	219.879246177868	219.55225465882177	206.32008186302477	206.89563171622524	209.0814284252287	202.76544371349746
Acbd3	50.88949773468103	51.23544713450689	50.07359455044075	50.08953725863261	49.75346022895373	49.355224829362	48.721790048680006	50.83328256658519	50.0713998098686	51.48659675947411	50.67479363389377	50.159261056584455	49.43814045329424	47.5220373216667
Acin1	67.34386380694923	68.69858865583598	71.0815378297369	68.66715030420255	62.93014743061156	63.53876806706993	63.91954411085487	71.31564315294833	72.18203445941349	67.55812351996867	64.32089460213918	66.49201009743865	63.861160072967394	61.12585701227636
Aco1	108.9445286188471	101.9157059646902	99.0163860742966	101.79614649652402	101.703924038328	95.89656886296603	90.05041168954182	100.66485807034296	99.83520904189717	104.46397481414897	105.17678198923369	99.4912398357456	96.37704196040384	92.45606777265576
Acot13	227.25886342318952	223.30132251846555	213.00466656659913	207.08593197981503	209.45569776475463	201.13706201063275	197.43524229059935	214.95205306868684	223.67325337762324	222.5266369593558	207.64269856394623	213.02307451135775	202.75338962727093	193.7659765003801
Acot8	34.37277511404994	35.59729893368076	35.45389114939978	32.91947428440549	32.14378006826035	31.26622481845422	28.856194926450016	36.22742226009569	35.46825088346167	33.337315573680364	32.22903775051635	32.18097737685913	30.533439356030243	30.518478499383512
Acp1	191.20945673342442	196.70688458222477	186.30248086971412	183.79652083468503	183.66310664810968	181.02750348351762	178.5667268829782	190.00393344713473	194.12661617324025	185.76205560560223	184.75287279146013	183.87767514226164	179.84004647684336	183.30405644672624
Acp5	73.66248953559526	76.43686173679764	79.40895024176423	75.50671207075031	70.75990597371232	69.84448663765308	69.76133250445878	74.23339465174558	74.72849203039996	72.91108690057573	72.24918718722458	75.62026980877877	74.19228155715696	68.92477410503699
Acpp	23.841670714295173	23.64239917131514	24.395841084808946	24.296895062759532	25.104362278656197	25.482941574067237	25.417262565233468	23.83794895137553	23.571993980342672	22.48908411605009	23.93579977364211	26.229827695160342	26.799852373800693	25.422721481096378
Acsl1	200.50446188958472	193.07279443310682	191.29910473165097	197.6604969039597	244.76985215669123	320.6720155908808	352.58486352914605	193.1794255796299	187.0757692768506	189.4358400771239	198.8421069548702	241.59966832107978	328.29074640604654	381.0447419876349
Actl6a	78.86319733734088	78.30019918781682	76.2072830532893	69.99425272883718	66.68405053109244	67.68827942486539	69.20418145397387	75.40097755217772	74.07555055301758	74.29165953328881	74.51173878755516	71.27674428351644	67.45207280327539	68.9902781835654
Actn1	141.98395512126746	142.49456812491024	143.41706393549703	141.0269918853184	135.5004278778619	144.1443764404192	146.37123749002242	142.91470759929157	140.05939758465473	147.65969306616995	136.15793615151847	129.71483784730128	145.78885681807722	153.62812085205667
Actn4	354.90918950898316	338.1295505727069	349.5865374266253	351.0800143663482	350.61518192076846	342.29718643012546	369.38330020673504	351.0564919226064	350.2098382136797	364.5329824103918	360.13231369730005	348.4858577341528	348.3762548840447	333.6910639276671
Actr2	2043.1407038136033	1902.7666208583723	1924.6290918135523	2016.391289625445	2003.036667349	1893.55650966096	1889.8210244370116	2011.7134338253688	2072.5727070965286	1979.2809876464435	1865.9992434208664	1857.0663361266932	1925.9692484887669	1963.5669460398199
Ada	8.50118645459673	8.601639875401549	8.298610477943171	7.85698156378556	7.412690025774463	6.679524287899927	6.6121694542421965	8.625176733971324	8.411781823725802	8.19135898184389	7.9503295942377115	7.515043632406138	6.686868660439636	6.590528510762072
