ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000254530	4.6261427197	4.6304787916	4.6358677358	4.6514384406	3.9818043342	4.0378076844	4.1817933255	4.297737087	4.8324885542	4.8338104572	4.8331229447	4.820101645	4.0658090393	4.0033614653	4.2191888833	4.406490479
ENSG00000163017	10.1879751464	10.0869370325	9.9861966142	9.7860502898	9.4498279309	8.8611064975	8.221850541	7.7366324271	9.7834694682	9.787516836	9.7920159178	9.8007310637	8.7779333736	8.3364578154	7.653197688	7.1058876975
ENSG00000087086	14.5088808699	14.5309690788	14.5527036518	14.5953742985	13.8052289825	14.288951883	14.9884227451	15.4625565376	14.9513006022	14.798205544	14.644767971	14.3355211663	15.1149468582	15.2578567516	15.3695418212	15.4485045711
ENSG00000133195	8.7115397157	8.6787365811	8.6476810606	8.5947115402	7.9473832729	9.771986436	10.2294807384	10.4637751911	9.1497027527	9.1782305469	9.2064956275	9.2640062694	10.4163104387	10.5731603735	10.3233894226	10.2365176504
ENSG00000163630	4.2773224493	4.3243851225	4.3693611856	4.4453213476	4.2232845757	4.4033679571	4.3915648316	4.3663763825	4.3185304244	4.3213858545	4.3242595508	4.3302174681	4.4195295087	4.2473787571	4.1097036946	3.9978450505
ENSG00000117013	6.0758612615	5.8466856178	5.6169594417	5.1551281654	6.047965661	7.0821938006	8.3351370737	9.326707282	6.4038321834	6.4194906048	6.4388163433	6.4926976117	7.6729112773	6.6418299733	6.196473035	5.923966892
ENSG00000148735	4.2108524349	4.2321533738	4.2540323312	4.2977881775	4.1042970998	4.3261788736	4.2162187793	4.0981910174	4.438479383	4.4265513398	4.4138493247	4.3847514585	4.490174941	4.0894924416	3.8304258991	3.6498328683
ENSG00000242507	4.0711691399	4.1221614685	4.1743323686	4.2831949695	3.7341540172	4.2077481951	4.1605539255	4.0784604939	3.8558504362	4.0372026918	4.2199264679	4.593743568	4.4948209359	4.2676054185	3.9175417504	3.6416411668
ENSG00000178201	3.9150807546	3.9307301203	3.9460139404	3.9764339177	3.6477819895	3.9056534736	4.1225986247	4.2821993379	4.0691020298	3.9603295325	3.8513993543	3.6313230085	3.8605736718	3.8445600913	3.8649357965	3.8829559839
ENSG00000178395	3.9093350023	3.9975055528	4.0854450294	4.2614743364	5.0987866784	4.5565910841	4.0072527624	3.5942777647	4.1104816536	4.0108177227	3.9101803957	3.7037921418	3.9756968973	3.902564001	3.9059851594	3.9205000242
